Key_Id,Year,Match_Id,Match_Name,Team1,Team2,Result,Home_Team_Name,Away_Team_Name,Winner,Stage_Name,Group_Name,Group_Stage,Knockout_Stage,Replayed,Replay,Match_Date,Stadium_Id,Stadium_Name,City_Name,Country_Name,Home_Team_Id,Home_Team_Code,Away_Team_Id,Away_Team_Code,Score,Home_Team_Score,Away_Team_Score,Home_Team_Score_Margin,Away_Team_Score_Margin,Extra_Time,Penalty_Shootout,Score_Penalties,Home_Team_Score_Penalties,Away_Team_Score_Penalties,Home_Team_Win,Away_Team_Win,Draw,Unique_Teams
99,1954,M-1954-24,West Germany v Austria,West Germany,Austria,home team win,West Germany,Austria,West Germany,semi-finals,not applicable,0,1,0,0,6/30/1954,S-176,St. Jakob Stadium,Basel,Switzerland,T-83,DEU,T-05,AUT,6–1,6,1,5,-5,0,0,0-0,0,0,1,0,0,NULL
100,1954,M-1954-25,Austria v Uruguay,Austria,Uruguay,home team win,Austria,Uruguay,Austria,third-place match,not applicable,0,1,0,0,07-03-1954,S-181,Hardturm Stadium,Zürich,Switzerland,T-05,AUT,T-81,URY,3–1,3,1,2,-2,0,0,0-0,0,0,1,0,0,NULL
101,1954,M-1954-26,West Germany v Hungary,West Germany,Hungary,home team win,West Germany,Hungary,West Germany,final,not applicable,0,1,0,0,07-04-1954,S-177,Wankdorf Stadium,Bern,Switzerland,T-83,DEU,T-34,HUN,3–2,3,2,1,-1,0,0,0-0,0,0,1,0,0,NULL
102,1958,M-1958-01,Sweden v Mexico,Sweden,Mexico,home team win,Sweden,Mexico,Sweden,group stage,Group 3,1,0,0,0,06-08-1958,S-173,Råsunda Stadium,Solna,Sweden,T-72,SWE,T-44,MEX,3–0,3,0,3,-3,0,0,0-0,0,0,1,0,0,NULL
103,1958,M-1958-02,Argentina v West Germany,Argentina,West Germany,away team win,Argentina,West Germany,West Germany,group stage,Group 1,1,0,0,0,06-08-1958,S-169,Malmö Stadion,Malmö,Sweden,T-03,ARG,T-83,DEU,1–3,1,3,-2,2,0,0,0-0,0,0,0,1,0,NULL
104,1958,M-1958-03,Northern Ireland v Czechoslovakia,Northern Ireland,Czechoslovakia,home team win,Northern Ireland,Czechoslovakia,Northern Ireland,group stage,Group 1,1,0,0,0,06-08-1958,S-167,Örjans Vall,Halmstad,Sweden,T-50,NIR,T-20,CSK,1–0,1,0,1,-1,0,0,0-0,0,0,1,0,0,NULL
105,1958,M-1958-04,France v Paraguay,France,Paraguay,home team win,France,Paraguay,France,group stage,Group 2,1,0,0,0,06-08-1958,S-170,Idrottsparken,Norrköping,Sweden,T-28,FRA,T-53,PRY,7–3,7,3,4,-4,0,0,0-0,0,0,1,0,0,NULL
106,1958,M-1958-05,Yugoslavia v Scotland,Yugoslavia,Scotland,draw,Yugoslavia,Scotland,Draw,group stage,Group 2,1,0,0,0,06-08-1958,S-175,Arosvallen,Västerås,Sweden,T-84,YUG,T-62,SCO,1–1,1,1,0,0,0,0,0-0,0,0,0,0,1,NULL
107,1958,M-1958-06,Hungary v Wales,Hungary,Wales,draw,Hungary,Wales,Draw,group stage,Group 3,1,0,0,0,06-08-1958,S-172,Jernvallen,Sandviken,Sweden,T-34,HUN,T-82,WAL,1–1,1,1,0,0,0,0,0-0,0,0,0,0,1,NULL
108,1958,M-1958-07,Brazil v Austria,Brazil,Austria,home team win,Brazil,Austria,Brazil,group stage,Group 4,1,0,0,0,06-08-1958,S-174,Rimnersvallen,Uddevalla,Sweden,T-09,BRA,T-05,AUT,3–0,3,0,3,-3,0,0,0-0,0,0,1,0,0,NULL
109,1958,M-1958-08,Soviet Union v England,Soviet Union,England,draw,Soviet Union,England,Draw,group stage,Group 4,1,0,0,0,06-08-1958,S-166,Ullevi,Gothenburg,Sweden,T-70,SUN,T-27,ENG,2–2,2,2,0,0,0,0,0-0,0,0,0,0,1,NULL
110,1958,M-1958-09,Argentina v Northern Ireland,Argentina,Northern Ireland,home team win,Argentina,Northern Ireland,Argentina,group stage,Group 1,1,0,0,0,06-11-1958,S-167,Örjans Vall,Halmstad,Sweden,T-03,ARG,T-50,NIR,3–1,3,1,2,-2,0,0,0-0,0,0,1,0,0,NULL
111,1958,M-1958-10,West Germany v Czechoslovakia,West Germany,Czechoslovakia,draw,West Germany,Czechoslovakia,Draw,group stage,Group 1,1,0,0,0,06-11-1958,S-168,Olympia,Helsingborg,Sweden,T-83,DEU,T-20,CSK,2–2,2,2,0,0,0,0,0-0,0,0,0,0,1,NULL
112,1958,M-1958-11,Paraguay v Scotland,Paraguay,Scotland,home team win,Paraguay,Scotland,Paraguay,group stage,Group 2,1,0,0,0,06-11-1958,S-170,Idrottsparken,Norrköping,Sweden,T-53,PRY,T-62,SCO,3–2,3,2,1,-1,0,0,0-0,0,0,1,0,0,NULL
113,1958,M-1958-12,Yugoslavia v France,Yugoslavia,France,home team win,Yugoslavia,France,Yugoslavia,group stage,Group 2,1,0,0,0,06-11-1958,S-175,Arosvallen,Västerås,Sweden,T-84,YUG,T-28,FRA,3–2,3,2,1,-1,0,0,0-0,0,0,1,0,0,NULL
114,1958,M-1958-13,Mexico v Wales,Mexico,Wales,draw,Mexico,Wales,Draw,group stage,Group 3,1,0,0,0,06-11-1958,S-173,Råsunda Stadium,Solna,Sweden,T-44,MEX,T-82,WAL,1–1,1,1,0,0,0,0,0-0,0,0,0,0,1,NULL
115,1958,M-1958-14,Brazil v England,Brazil,England,draw,Brazil,England,Draw,group stage,Group 4,1,0,0,0,06-11-1958,S-166,Ullevi,Gothenburg,Sweden,T-09,BRA,T-27,ENG,0–0,0,0,0,0,0,0,0-0,0,0,0,0,1,NULL
116,1958,M-1958-15,Soviet Union v Austria,Soviet Union,Austria,home team win,Soviet Union,Austria,Soviet Union,group stage,Group 4,1,0,0,0,06-11-1958,S-164,Ryavallen,Borås,Sweden,T-70,SUN,T-05,AUT,2–0,2,0,2,-2,0,0,0-0,0,0,1,0,0,NULL
117,1958,M-1958-16,Sweden v Hungary,Sweden,Hungary,home team win,Sweden,Hungary,Sweden,group stage,Group 3,1,0,0,0,06-12-1958,S-173,Råsunda Stadium,Solna,Sweden,T-72,SWE,T-34,HUN,2–1,2,1,1,-1,0,0,0-0,0,0,1,0,0,NULL
118,1958,M-1958-17,Sweden v Wales,Sweden,Wales,draw,Sweden,Wales,Draw,group stage,Group 3,1,0,0,0,6/15/1958,S-173,Råsunda Stadium,Solna,Sweden,T-72,SWE,T-82,WAL,0–0,0,0,0,0,0,0,0-0,0,0,0,0,1,NULL
119,1958,M-1958-18,Czechoslovakia v Argentina,Czechoslovakia,Argentina,home team win,Czechoslovakia,Argentina,Czechoslovakia,group stage,Group 1,1,0,0,0,6/15/1958,S-168,Olympia,Helsingborg,Sweden,T-20,CSK,T-03,ARG,6–1,6,1,5,-5,0,0,0-0,0,0,1,0,0,NULL
120,1958,M-1958-19,West Germany v Northern Ireland,West Germany,Northern Ireland,draw,West Germany,Northern Ireland,Draw,group stage,Group 1,1,0,0,0,6/15/1958,S-169,Malmö Stadion,Malmö,Sweden,T-83,DEU,T-50,NIR,2–2,2,2,0,0,0,0,0-0,0,0,0,0,1,NULL
121,1958,M-1958-20,France v Scotland,France,Scotland,home team win,France,Scotland,France,group stage,Group 2,1,0,0,0,6/15/1958,S-171,Eyravallen,Örebro,Sweden,T-28,FRA,T-62,SCO,2–1,2,1,1,-1,0,0,0-0,0,0,1,0,0,NULL
122,1958,M-1958-21,Paraguay v Yugoslavia,Paraguay,Yugoslavia,draw,Paraguay,Yugoslavia,Draw,group stage,Group 2,1,0,0,0,6/15/1958,S-165,Tunavallen,Eskilstuna,Sweden,T-53,PRY,T-84,YUG,3–3,3,3,0,0,0,0,0-0,0,0,0,0,1,NULL
123,1958,M-1958-22,Hungary v Mexico,Hungary,Mexico,home team win,Hungary,Mexico,Hungary,group stage,Group 3,1,0,0,0,6/15/1958,S-172,Jernvallen,Sandviken,Sweden,T-34,HUN,T-44,MEX,4–0,4,0,4,-4,0,0,0-0,0,0,1,0,0,NULL
124,1958,M-1958-23,Brazil v Soviet Union,Brazil,Soviet Union,home team win,Brazil,Soviet Union,Brazil,group stage,Group 4,1,0,0,0,6/15/1958,S-166,Ullevi,Gothenburg,Sweden,T-09,BRA,T-70,SUN,2–0,2,0,2,-2,0,0,0-0,0,0,1,0,0,NULL
